season,association_code,country,competition,competition_level,team,league_size,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_game,goal_difference_per_game,ppg_percentile,percentile_basis,table_basis,source,source_ref,source_path,source_git_blob_sha,source_file_sha256
2022-23,ENG,England,Premier League,1,Chelsea FC,20,38,11,11,16,38,47,-9,44,1.1578947368421053,-0.23684210526315788,0.42105263157894735,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Wolverhampton Wanderers FC,20,38,11,8,19,31,58,-27,41,1.0789473684210527,-0.7105263157894737,0.3684210526315789,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,West Ham United FC,20,38,11,7,20,42,55,-13,40,1.0526315789473684,-0.34210526315789475,0.3157894736842105,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,AFC Bournemouth,20,38,11,6,21,37,71,-34,39,1.0263157894736843,-0.8947368421052632,0.2631578947368421,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Nottingham Forest FC,20,38,9,11,18,38,68,-30,38,1,-0.7894736842105263,0.21052631578947367,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Everton FC,20,38,8,12,18,34,57,-23,36,0.9473684210526315,-0.6052631578947368,0.15789473684210525,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Leicester City FC,20,38,9,7,22,51,68,-17,34,0.8947368421052632,-0.4473684210526316,0.10526315789473684,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Leeds United FC,20,38,7,10,21,48,78,-30,31,0.8157894736842105,-0.7894736842105263,0.05263157894736842,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2022-23,ENG,England,Premier League,1,Southampton FC,20,38,6,7,25,36,73,-37,25,0.6578947368421053,-0.9736842105263158,0,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2022-23/1-premierleague.txt,2022-23/1-premierleague.txt,3ef9d512d2150732c18ff6e39c9d7b20f446a050,c85a2f8ac64975435b8359eb923eaa09e48f33d47672c8b32d2c6e99a8cec5f0
2023-24,ENG,England,Premier League,1,Manchester City FC,20,38,28,7,3,96,34,62,91,2.3947368421052633,1.631578947368421,1,within_competition_season_ppg_tie_averaged,completed_regular_season_match_results_3_1_0,openfootball/england,https://github.com/openfootball/england/blob/master/2023-24/1-premierleague.txt,2023-24/1-premierleague.txt,23cdd8a340b72f6f30c514fbf609d5cf252723aa,0bfb4a7fffe0b1bf7318955686eafeb28fc9676346ae433259e7409d69551450
