event_id,season,player_id,player_name,from_club_id,from_club,to_club_id,to_club,semantic_type,fee_text,paired_internal_faces,source_faces
TM-2022-01122,2022/23,586756,Festy Ebosele,22,Derby County,410,Udinese Calcio,FREE_TRANSFER,free transfer,0,IN
TM-2022-01123,2022/23,587458,Kevin Agudelo,252,Genoa CFC,3522,Spezia Calcio,PERMANENT_OR_OTHER_EXPLICIT,€2.50m,0,IN
TM-2022-01124,2022/23,587458,Kevin Agudelo,3522,Spezia Calcio,252,Genoa CFC,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,OUT
TM-2022-01125,2022/23,591949,Aaron Hickey,1025,Bologna FC 1909,1148,Brentford FC,PERMANENT_OR_OTHER_EXPLICIT,€14.25m,0,OUT
TM-2022-01126,2022/23,592879,Eetu Mömmö,1005,US Lecce,1185,FH Hafnarfjördur,LOAN,loan transfer,0,OUT
TM-2022-01127,2022/23,592879,Eetu Mömmö,5618,Lecce Primavera,1005,US Lecce,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01128,2022/23,592924,Andreas Jungdal,10958,Milan Primavera,5,AC Milan,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01129,2022/23,592924,Andreas Jungdal,5,AC Milan,3551,SCR Altach,LOAN,Loan fee: €35k,0,OUT
TM-2022-01130,2022/23,594505,Raimonds Krollis,5084,Valmiera FC,3522,Spezia Calcio,PERMANENT_OR_OTHER_EXPLICIT,€1.52m,0,IN
TM-2022-01131,2022/23,595809,Beto,410,Udinese Calcio,7378,Portimonense SAD,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,OUT
TM-2022-01132,2022/23,595809,Beto,7378,Portimonense SAD,410,Udinese Calcio,PERMANENT_OR_OTHER_EXPLICIT,€15.00m,0,IN
TM-2022-01133,2022/23,600041,Mattia Felici,1005,US Lecce,4271,US Triestina,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01134,2022/23,600041,Mattia Felici,458,Palermo FC,1005,US Lecce,LOAN_RETURN_OR_END_OF_LOAN,End of loan 21/07/2022,0,IN
TM-2022-01135,2022/23,600936,Luca Moro,6574,US Sassuolo,8970,Frosinone Calcio,LOAN,loan transfer,0,OUT
TM-2022-01136,2022/23,601877,Luan Capanni,2431,CF Estrela Amadora,5,AC Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 02/11/2022,0,IN
TM-2022-01137,2022/23,601877,Luan Capanni,4333,US Grosseto 1912,5,AC Milan,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01138,2022/23,601877,Luan Capanni,5,AC Milan,2431,CF Estrela Amadora,LOAN,loan transfer,0,OUT
TM-2022-01139,2022/23,601877,Luan Capanni,5,AC Milan,6107,Arka Gdynia,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01140,2022/23,602124,Alessandro Bianco,8505,Fiorentina Primavera,430,ACF Fiorentina,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01141,2022/23,602607,Stefano Piccinini,6574,US Sassuolo,4553,US Pergolettese 1932,LOAN,loan transfer,0,OUT
TM-2022-01142,2022/23,602607,Stefano Piccinini,7030,Vis Pesaro 1898,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01143,2022/23,603676,Leonardo Pezzola,749,FC Empoli,39818,San Donato Tavarnelle,LOAN,loan transfer,0,OUT
TM-2022-01144,2022/23,603695,Leandro Pratelli,1408,Piacenza Calcio 1919,749,FC Empoli,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01145,2022/23,603695,Leandro Pratelli,749,FC Empoli,4541,UC AlbinoLeffe,PERMANENT_OR_OTHER_EXPLICIT,?,0,OUT
TM-2022-01146,2022/23,603891,Emmanuel Ekong,749,FC Empoli,839,AC Perugia Calcio,LOAN,loan transfer,0,OUT
TM-2022-01147,2022/23,604579,Alessandro Mercati,4339,Aquila Montevarchi 1902,6574,US Sassuolo,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01148,2022/23,604579,Alessandro Mercati,6574,US Sassuolo,4159,Carrarese Calcio 1908,LOAN,loan transfer,0,OUT
TM-2022-01149,2022/23,604630,Matteo Ghisolfi,2239,US Cremonese,9818,Giugliano Calcio 1928,LOAN,loan transfer,0,OUT
TM-2022-01150,2022/23,604630,Matteo Ghisolfi,4163,US Fiorenzuola 1922,2239,US Cremonese,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01151,2022/23,606451,Sanasi Sy,380,US Salernitana 1919,1160,Nîmes Olympique,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01152,2022/23,606451,Sanasi Sy,4031,Cosenza Calcio,380,US Salernitana 1919,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01153,2022/23,606614,Jacopo De Matteis,14968,Salernitana Primavera,380,US Salernitana 1919,PERMANENT_OR_OTHER_EXPLICIT,-,0,IN
TM-2022-01154,2022/23,606614,Jacopo De Matteis,380,US Salernitana 1919,4033,Fermana FC,LOAN,loan transfer,0,OUT
TM-2022-01155,2022/23,607187,Emanuele Acampora,1025,Bologna FC 1909,12944,Sant'Antonio Abate,FREE_TRANSFER,free transfer,0,OUT
TM-2022-01156,2022/23,607187,Emanuele Acampora,63520,Sona Calcio,1025,Bologna FC 1909,LOAN_RETURN_OR_END_OF_LOAN,End of loan 30/06/2022,0,IN
TM-2022-01157,2022/23,607854,Éderson,380,US Salernitana 1919,800,Atalanta BC,PERMANENT_OR_OTHER_EXPLICIT,€22.90m,1,IN+OUT
TM-2022-01158,2022/23,608469,Adolfo Gaich,2410,CSKA Moscow,276,Hellas Verona,LOAN,Loan fee: €300k,0,IN
